Date,Open,High,Low,Close,Adj Close,Volume
2018-11-21,52.840000,54.650002,52.230000,52.959999,50.899162,14586100
2018-11-23,52.509998,53.500000,52.060001,52.959999,50.899162,2097500
2018-11-26,53.700001,55.709999,53.540001,55.279999,53.128883,5544700
2018-11-27,55.080002,55.290001,54.000000,54.759998,52.629112,3217500
2018-11-28,55.200001,56.540001,54.279999,56.200001,54.013084,2753700
2018-11-29,56.169998,56.400002,55.060001,55.369999,53.215378,2545900
2018-11-30,55.369999,56.820000,55.369999,56.400002,54.205299,2615700
2018-12-03,57.189999,57.320000,55.330002,56.290001,54.099583,2444200
2018-12-04,56.419998,56.520000,54.070000,54.930000,52.792503,2943100
2018-12-06,54.200001,54.610001,52.849998,54.470001,52.350403,2634000
2018-12-07,54.410000,55.020000,52.529999,53.049999,50.985657,2060700
2018-12-10,53.119999,53.439999,51.490002,52.509998,50.466667,1970200
2018-12-11,53.169998,53.980000,51.730000,52.180000,50.149513,2347800
2018-12-12,52.389999,52.950001,51.619999,51.919998,49.899628,2027800
2018-12-13,51.900002,52.490002,49.779999,49.939999,47.996681,2552600
2018-12-14,49.279999,50.570000,49.009998,49.259998,47.343140,2766300
2018-12-17,48.860001,49.330002,47.189999,47.619999,45.766960,2715800
2018-12-18,47.970001,49.580002,47.970001,48.950001,47.045208,2526100
2018-12-19,48.990002,49.770000,47.090000,47.380001,45.536297,3383500
2018-12-20,47.419998,48.919998,47.070000,47.919998,46.055283,2770500
2018-12-21,48.750000,50.820000,48.610001,48.759998,46.862595,6506700
2018-12-24,48.320000,50.070000,47.650002,48.930000,47.025982,1797000
2018-12-26,49.099998,51.619999,49.029999,51.580002,49.572861,3136200
2018-12-27,50.959999,51.930000,49.730000,51.910000,49.890018,1931300
2018-12-28,52.000000,52.910000,51.619999,52.279999,50.245621,1480000
2018-12-31,52.639999,53.369999,52.400002,53.200001,51.129826,1790700
2019-01-02,52.419998,53.380001,52.110001,52.759998,50.706944,3755600
2019-01-03,52.669998,53.799999,51.869999,53.419998,51.341259,3581900
2019-01-04,54.169998,55.290001,54.049999,54.880001,52.744446,2223500
2019-01-07,55.060001,57.250000,55.049999,56.400002,54.205299,3382100
2019-01-08,57.220001,57.750000,56.299999,56.779999,54.570515,2608400
2019-01-09,57.380001,58.020000,56.160000,56.320000,54.128414,4120900
2019-01-10,54.790001,56.220001,54.000000,55.720001,53.551762,2310200
2019-01-11,55.750000,57.389999,55.750000,56.500000,54.301414,2179300
2019-01-14,56.459999,57.369999,56.320000,56.810001,54.599346,2452300
2019-01-15,57.099998,57.779999,56.509998,57.020000,54.801170,2799600
2019-01-16,56.860001,56.950001,55.910000,56.410000,54.214909,2798300
2019-01-17,55.660000,57.939999,55.299999,57.590000,55.689590,3885000
2019-01-18,57.889999,58.669998,57.230000,58.369999,56.443844,2852500
2019-01-22,58.139999,58.139999,56.570000,57.049999,55.167408,2434000
2019-01-23,57.419998,57.439999,55.919998,56.689999,54.819279,1934500
2019-01-24,56.900002,57.160000,56.389999,56.610001,54.741928,1729300
2019-01-25,57.250000,57.389999,56.130001,56.750000,54.877304,1873600
2019-01-28,56.450001,56.830002,55.840000,56.720001,54.848297,1545900
2019-01-29,56.700001,56.720001,55.820000,56.549999,54.683903,1448300
2019-01-30,56.599998,57.049999,55.950001,56.680000,54.809616,2692200
2019-01-31,56.500000,56.810001,55.770000,55.889999,54.045685,2238300
2019-02-01,55.910000,56.340000,54.480000,55.060001,53.243076,2597500
2019-02-04,54.900002,55.970001,54.680000,55.849998,54.007004,1547800
2019-02-05,56.590000,57.000000,56.230000,56.669998,54.799938,1555600
2019-02-06,56.669998,57.070000,55.980000,56.669998,54.799938,1094500
2019-02-07,56.299999,57.009998,55.730000,56.570000,54.703247,1568700
2019-02-08,56.320000,57.070000,56.259998,56.490002,54.625889,1445000
2019-02-11,56.680000,57.310001,56.029999,56.939999,55.061035,2229800
2019-02-12,57.250000,58.209999,56.759998,57.930000,56.018364,1961800
2019-02-13,58.439999,58.779999,57.529999,58.150002,56.231110,2318100
2019-02-14,57.939999,59.259998,57.630001,58.939999,56.995041,1904600
2019-02-15,59.279999,59.869999,58.860001,59.290001,57.333488,1675800
2019-02-19,59.270000,60.029999,58.740002,59.830002,57.855671,1482800
2019-02-20,59.869999,60.320000,59.470001,60.049999,58.068409,1913400
2019-02-21,61.099998,61.360001,59.639999,60.009998,58.029728,2473800
2019-02-22,60.150002,60.270000,58.709999,59.639999,57.671940,2434400
2019-02-25,60.330002,60.610001,59.299999,59.799999,57.826656,2936400
2019-02-26,58.720001,59.750000,58.610001,58.889999,56.946690,2303900
2019-02-27,58.880001,59.619999,58.529999,59.369999,57.410851,3991400
2019-02-28,59.119999,59.900002,58.410000,59.520000,57.555901,3293300
2019-03-01,67.849998,68.000000,62.029999,63.070000,60.988750,12638300
2019-03-04,64.000000,64.330002,62.889999,63.349998,61.259510,5137500
2019-03-05,63.700001,63.869999,62.720001,62.779999,60.708321,3143700
2019-03-06,63.049999,63.830002,62.689999,63.150002,61.066113,2421600
2019-03-07,62.790001,62.869999,61.810001,62.119999,60.070099,2834100
2019-03-08,61.650002,61.730000,59.220001,60.080002,58.097420,3311700
2019-03-11,60.250000,60.700001,59.689999,59.849998,57.875008,3265400
2019-03-12,59.669998,60.180000,58.919998,60.099998,58.116760,3395100
2019-03-13,60.400002,60.540001,59.660000,59.700001,57.729961,2755200
2019-03-14,59.680000,59.799999,59.009998,59.349998,57.391510,2303600
2019-03-15,59.310001,59.560001,58.380001,58.980000,57.033718,3472400
2019-03-18,58.860001,60.110001,58.860001,59.849998,57.875008,2817900
2019-03-19,59.980000,61.049999,59.509998,60.549999,58.551910,2057200
2019-03-20,60.480000,60.770000,59.099998,59.490002,57.526890,1598400
